"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","LATITUDE","LONGITUDE","AIRPORT_IS_LATEST",
1000101,10001,"01A","Afognak Lake Airport","Afognak Lake, AK","United States","Alaska","02",30001,"Afognak Lake, AK",58.10944444,-152.90666667,1,
1000301,10003,"03A","Bear Creek Mining Strip","Granite Mountain, AK","United States","Alaska","02",30003,"Granite Mountain, AK",65.54805556,-161.07166667,1,
1000401,10004,"04A","Lik Mining Camp","Lik, AK","United States","Alaska","02",30004,"Lik, AK",68.08333333,-163.16666667,1,
1000501,10005,"05A","Little Squaw Airport","Little Squaw, AK","United States","Alaska","02",30005,"Little Squaw, AK",67.57000000,-148.18388889,1,
1000601,10006,"06A","Kizhuyak Bay","Kizhuyak, AK","United States","Alaska","02",30006,"Kizhuyak, AK",57.74527778,-152.88277778,1,
1000701,10007,"07A","Klawock Seaplane Base","Klawock, AK","United States","Alaska","02",30007,"Klawock, AK",55.55472222,-133.10166667,1,
1000801,10008,"08A","Elizabeth Island Airport","Elizabeth Island, AK","United States","Alaska","02",30008,"Elizabeth Island, AK",59.15694444,-151.82916667,1,
1000901,10009,"09A","Augustin Island","Homer, AK","United States","Alaska","02",30009,"Homer, AK",59.36277778,-153.43055556,1,
1001001,10010,"1B1","Columbia County","Hudson, NY","United States","New York","36",30010,"Hudson, NY",42.28888889,-73.71027778,0,
1001002,10010,"1B1","Columbia County","Hudson, NY","United States","New York","36",30010,"Hudson, NY",42.29138889,-73.71027778,1,
1001101,10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States","Arizona","04",30011,"Peach Springs, AZ",35.99027778,-113.81638889,0,
1001102,10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States","Arizona","04",30011,"Peach Springs, AZ",35.98611111,-113.81694444,1,
1001201,10012,"1N7","Blairstown Airport","Blairstown, NJ","United States","New Jersey","34",30012,"Blairstown, NJ",40.97111111,-74.99750000,1,
1001301,10013,"8F3","Crosbyton Municipal","Crosbyton, TX","United States","Texas","48",30013,"Crosbyton, TX",33.62388889,-101.24083333,1,
1001401,10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","United States","Alaska","02",31517,"Fairbanks, AK",64.36416667,-147.36138889,0,
1001402,10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","United States","Alaska","02",31517,"Fairbanks, AK",64.36361111,-147.36388889,1,
1001501,10015,"A02","Deadmans Bay Airport","Deadmans Bay, AK","United States","Alaska","02",30015,"Deadmans Bay, AK",57.06666667,-153.93777778,1,
1001601,10016,"A03","Hallo Bay Airport","Hallo Bay, AK","United States","Alaska","02",30016,"Hallo Bay, AK",58.45750000,-154.02333333,1,
1001701,10017,"A04","Red Lake Airport","Red Lake, AK","United States","Alaska","02",30017,"Red Lake, AK",57.27722222,-154.34222222,1,
1001801,10018,"A05","Shell Lake Airport","Shell Lake, AK","United States","Alaska","02",30018,"Shell Lake, AK",61.96388889,-151.55583333,1,
1001901,10019,"A06","Navigator Airstrip","Kougarok, AK","United States","Alaska","02",30019,"Kougarok, AK",65.65555556,-165.35638889,1,
1002001,10020,"A07","Roland Norton Memorial Airstrip","Selawik, AK","United States","Alaska","02",30020,"Selawik, AK",66.76583333,-160.15250000,0,
1002002,10020,"A07","Roland Norton Memorial","Selawik, AK","United States","Alaska","02",30020,"Selawik, AK",66.76611111,-160.15277778,1,
1002101,10021,"A08","Pillar Bay Airport","Pillar Bay, AK","United States","Alaska","02",30021,"Pillar Bay, AK",56.59805556,-134.24277778,1,
1002201,10022,"JOH","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska","02",30022,"Johnstone Point, AK",60.48138889,-146.58222222,0,
1002202,10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska","02",30022,"Johnstone Point, AK",60.48222222,-146.58222222,0,
1002203,10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska","02",30022,"Johnstone Point, AK",60.48166667,-146.58416667,1,
1002301,10023,"TLK","Tikchik Lodge Airport","Tikchik Lodge, AK","United States","Alaska","02",30023,"Tikchik Lodge, AK",59.95555556,-158.48055556,0,
1002302,10023,"KTH","Tikchik Lodge Airport","Tikchik Lodge, AK","United States","Alaska","02",30023,"Tikchik Lodge, AK",59.95555556,-158.48055556,1,
1002401,10024,"A11","Bell Creek Airport","Bell Creek, AK","United States","Alaska","02",30024,"Bell Creek, AK",60.78388889,-159.54027778,1,
1002501,10025,"A12","Cinnabar Airport","Cinnabar, AK","United States","Alaska","02",30025,"Cinnabar, AK",60.78527778,-158.86444444,1,
1002601,10026,"A13","Mountaintop Mine Airport","Mountaintop Mine, AK","United States","Alaska","02",30026,"Mountaintop Mine, AK",61.39027778,-157.99555556,1,
1002701,10027,"A14","Whitebear Airport","Whitebear, AK","United States","Alaska","02",30027,"Whitebear, AK",61.18888889,-159.85833333,1,
1002801,10028,"A15","Puviaq Airport","Puviaq, AK","United States","Alaska","02",30028,"Puviaq, AK",70.71861111,-154.38833333,0,
1002802,10028,"A15","Puviaq Airport","Puviaq, AK","United States","Alaska","02",30028,"Puviaq, AK",70.71555556,-154.40694444,1,
1002901,10029,"A16","Arley Lake Airport","Arley Lake, AK","United States","Alaska","02",30029,"Arley Lake, AK",70.74694444,-155.36083333,1,
1003001,10030,"A17","Port Vita Airport","Port Vita, AK","United States","Alaska","02",30030,"Port Vita, AK",58.06555556,-153.07250000,1,
